prime,role,seed,total_rank,n_rows,n_columns,euler,evaluation_errors,zero_rows,wall_seconds,peak_rss_mb,content_sha256
32717,fitting,11,81,83,126,83/83,0,0,619.5,571.0,931309a51b112e25d833844bdf3b86a275c84d7785979a4f983d11ff6aa20208
32717,fitting,22,81,83,126,83/83,0,0,3360.9,456.1,2f6fedd7c48f3b3d8971de74509c17a59dffc73c292d87a7f1352374550df6d1
32717,fitting,33,81,83,126,83/83,0,0,1442.7,518.8,eb714ea57d24c7fe8f778fc726d2d46159afbd2a61a8bd06b6edb8e0fb6aef0d
32719,fitting,11,81,83,126,83/83,0,0,1076.3,607.9,a67a801b15a865d2c0eeacd018f3eb0b98f1042e9a01e75710766bb7d5297b2d
32719,fitting,22,81,83,126,83/83,0,0,809.3,594.3,926236c55c767a8d07b3d187580b3eb3ebee7f447b1bb6b4249017c335672e80
32719,fitting,33,81,83,126,83/83,0,0,561.6,587.3,f4ba174e5e3b6be53610d293454db160717479c706b071929faf67d6d15852ab
32749,fitting,11,81,83,126,83/83,0,0,4.0,233.3,ccd04a02b738edbeaff5b429be9a673f490275d9cda02e64ac296613d0292e97
32749,fitting,22,81,83,126,83/83,0,0,268.7,508.9,d59cceeefcad15b0dd6ed357428bdaf0e93375d7282b3ae3272238bbca6fd04b
32749,fitting,33,81,83,126,83/83,0,0,586.3,591.1,464dfac08d5403eb01ba60c13313168b07b94a2843aab3f319bd9044256cb7d9
32693,holdout,11,81,83,126,83/83,0,0,694.0,573.9,41b8fdba0a1ff9b9246099c93e57b62bf531eaaecf8674e6b0ee726a12cfaa66
32693,holdout,22,81,83,126,83/83,0,0,535.0,719.9,ffbf8492aeb7e4bd98a966e61b982bf2617a34045a7bd0218042a5335d74bc96
32693,holdout,33,81,83,126,83/83,0,0,553.7,699.3,fa888abea2d57b9b26971e95f9106a85723595c301c8aac25a968448b4aec741
32713,holdout,11,81,83,126,83/83,0,0,1169.0,583.3,bb831ef8c882fa00eff8596128666d6113d5838ca10916db4d800456a3ee49dc
32713,holdout,22,81,83,126,83/83,0,0,2176.2,472.2,b05cfb2e22c7529303021d2199a2ea4f3f4f8bc123ada5787cd867bde9dc2d6b
32713,holdout,33,81,83,126,83/83,0,0,1674.6,492.6,549457c9f0014f18694e037cd86f328c554927103aff283df55267a84ae50681
