prime,role,seed,total_rank,n_rows,n_columns,euler,evaluation_errors,zero_rows,wall_seconds,peak_rss_mb,content_sha256
32717,fitting,11,81,83,126,83/83,0,0,16.6,235.5,029a00585d60f9af137b92150cda664cf522a0dad91d0126d45fbbd967c0f0de
32717,fitting,22,81,83,126,83/83,0,0,16.2,228.8,a4572d144ce5f6ff5dc56b241e9843a236ee6b74adcc789d4147b698d4f9c551
32717,fitting,33,81,83,126,83/83,0,0,15.9,236.9,241459e57b407a58cb822c849121489ed66f7ccf0ecd684573dea3f569b87741
32719,fitting,11,81,83,126,83/83,0,0,18.6,231.7,000ca853ac843299c0b68f963b7a174d31f072f98748381278b8747771cedfca
32719,fitting,22,81,83,126,83/83,0,0,17.9,236.5,97950b18c19525d6930c8fd34e4624cc2f6eb3362415dba4ba2fe3403d799d7c
32719,fitting,33,81,83,126,83/83,0,0,18.0,237.3,f8a76857c6bbc4227648104c09339d372992f44ac5cc4cd5534f381b53f98dc1
32749,fitting,11,81,83,126,83/83,0,0,633.6,532.0,0fc6baa4c0df2e34ee89744ca93bdfcb2eeea72857b12ced948d8779a73c6f47
32749,fitting,22,81,83,126,83/83,0,0,15.2,243.4,2e17fb8950495fc409880672990a1a8c270af422953303bf1bc55c09bc8932a5
32749,fitting,33,81,83,126,83/83,0,0,15.4,236.4,2552d94c8195a03afc890832eac58366fc7418b0c56c6345f87dde41b46655e1
32707,holdout,11,81,83,126,83/83,0,0,1299.9,741.3,04dd51047adba4e174265e8f240b94a3a03b032be61e0d315d2bda7c8fc10a6f
32707,holdout,22,81,83,126,83/83,0,0,1534.5,686.6,1bdd7839de7ebb7b3106136ba84d75c3a8b2e82e96cb9fe6ddad143cbb1473e2
32707,holdout,33,81,83,126,83/83,0,0,2123.2,650.8,383d35d04436f53f5b3371c8b1407ec995aa429323da7b514005ab5d433e1e8e
32713,holdout,11,81,83,126,83/83,0,0,16.3,238.3,de402617a6590ae05afdd057cb6954af90e561daeb06dfe7a1179c3560839c30
32713,holdout,22,81,83,126,83/83,0,0,14.8,231.1,31c7bb7834c811946d1512d9f4438d3fd3ac8f9aebd9fa89fc18631fc38bae2d
32713,holdout,33,81,83,126,83/83,0,0,17.0,237.6,ecd9d50e79cd0f4953e95713e9f02f64a0aca2af39b7c70a52737a1a0d464ef1
